Ville,Description_Temps,Température_Ressentie (°C),Humidite_WM,Pression_Atmosphérique (hPa),Niveau_Mer (hPa),Pression_Sol (hPa),Vitesse_Vent (m/sec),Direction_Vent (DEG),Rafales_Vent (m/sec),Précipitations_1h (mm/h),Couverture_Nuageuse (%),Heure_Lever_Soleil,Heure_Coucher_Soleil
Rennes,ciel dégagé,21.93,64,1025,1025,1018,3.09,40,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,24.01,57,1024,1024,1021,3.09,40,0.0,0,0,2025-06-18 04:09:44,2025-06-18 20:05:01
Marseille,ciel dégagé,28.21,29,1019,1019,1012,1.61,205,1.76,0,4,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,26.06,50,1022,1022,1000,2.06,280,0.0,0,0,2025-06-18 04:12:31,2025-06-18 19:38:20
Lyon,ciel dégagé,26.31,74,1022,1022,991,2.57,360,0.0,0,0,2025-06-18 03:50:24,2025-06-18 19:33:08
Bordeaux,ciel dégagé,27.41,47,1022,1022,1017,5.14,50,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,29.11,48,1020,1020,1010,2.06,170,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,peu nuageux,27.21,47,1023,1023,1006,2.57,10,0.0,0,20,2025-06-18 03:26:16,2025-06-18 19:34:03
Paris,ciel dégagé,25.05,43,1025,1025,1015,2.06,320,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
Rennes,ciel dégagé,24.94,53,1025,1025,1017,2.57,50,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,26.06,53,1024,1024,1020,2.57,50,0.0,0,0,2025-06-18 04:09:43,2025-06-18 20:05:00
Marseille,ciel dégagé,32.33,33,1020,1020,1013,2.42,171,2.5,0,3,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,28.03,44,1022,1022,1000,1.54,0,0.0,0,0,2025-06-18 04:12:30,2025-06-18 19:38:21
Lyon,ciel dégagé,26.24,51,1022,1022,990,4.12,340,0.0,0,0,2025-06-18 03:50:25,2025-06-18 19:33:07
Bordeaux,ciel dégagé,28.14,44,1021,1021,1016,5.66,50,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,29.98,45,1020,1020,1010,3.6,200,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,26.92,41,1023,1023,1006,3.09,10,0.0,0,0,2025-06-18 03:26:17,2025-06-18 19:34:01
Paris,ciel dégagé,25.52,42,1025,1025,1015,3.6,300,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
Rennes,ciel dégagé,26.0,50,1025,1025,1017,2.57,50,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,27.49,50,1023,1023,1020,3.09,50,0.0,0,0,2025-06-18 04:09:42,2025-06-18 20:05:02
Marseille,ciel dégagé,32.73,31,1020,1020,1013,3.48,160,3.17,0,3,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,28.41,37,1021,1021,1000,1.54,0,0.0,0,0,2025-06-18 04:12:31,2025-06-18 19:38:20
Lyon,ciel dégagé,29.18,68,1022,1022,990,4.12,350,0.0,0,0,2025-06-18 03:50:24,2025-06-18 19:33:07
Bordeaux,ciel dégagé,28.3,34,1021,1021,1016,4.63,70,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,30.58,40,1020,1020,1010,4.63,200,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,27.81,42,1023,1023,1006,1.54,40,0.0,0,0,2025-06-18 03:26:16,2025-06-18 19:34:03
Paris,ciel dégagé,26.95,33,1025,1025,1015,3.6,300,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
Rennes,ciel dégagé,27.8,42,1024,1024,1017,2.06,0,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,28.58,39,1023,1023,1020,3.6,40,0.0,0,0,2025-06-18 04:09:44,2025-06-18 20:05:01
Marseille,ciel dégagé,32.92,54,1020,1020,1013,3.85,154,3.2,0,2,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,29.7,29,1021,1021,999,2.57,340,0.0,0,0,2025-06-18 04:12:32,2025-06-18 19:38:20
Lyon,ciel dégagé,28.08,42,1021,1021,990,4.63,340,0.0,0,0,2025-06-18 03:50:23,2025-06-18 19:33:08
Bordeaux,ciel dégagé,29.37,35,1021,1021,1016,4.12,60,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,30.86,42,1019,1019,1009,5.66,210,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,28.52,39,1022,1022,1005,2.06,350,0.0,0,0,2025-06-18 03:26:17,2025-06-18 19:34:04
Paris,ciel dégagé,26.71,30,1024,1024,1014,4.12,310,0.0,0,0,2025-06-18 03:46:37,2025-06-18 19:57:06
Rennes,ciel dégagé,28.79,42,1024,1024,1016,2.06,0,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,29.43,37,1022,1022,1019,3.09,30,0.0,0,0,2025-06-18 04:09:44,2025-06-18 20:05:01
Marseille,ciel dégagé,28.7,29,1020,1020,1013,3.71,164,3.5,0,3,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,29.8,30,1020,1020,999,2.57,360,0.0,0,0,2025-06-18 04:12:32,2025-06-18 19:38:21
Lyon,ciel dégagé,28.55,38,1021,1021,990,4.63,360,0.0,0,0,2025-06-18 03:50:24,2025-06-18 19:33:08
Bordeaux,ciel dégagé,30.48,35,1020,1020,1015,3.6,60,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,19.79,77,1019,1019,1009,2.06,10,0.0,0,0,2025-06-19 04:02:49,2025-06-19 19:29:00
Strasbourg,ciel dégagé,17.73,77,1023,1023,1006,2.57,340,0.0,0,0,2025-06-19 03:26:24,2025-06-19 19:34:21
Paris,ciel dégagé,17.71,80,1024,1024,1014,2.57,40,0.0,0,0,2025-06-19 03:46:39,2025-06-19 19:57:26
Rennes,ciel dégagé,14.07,100,1023,1023,1015,1.03,350,0.0,0,5,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,19.79,64,1021,1021,1018,2.06,40,0.0,0,0,2025-06-19 04:09:49,2025-06-19 20:05:18
Marseille,nuageux,20.59,67,1019,1019,1011,1.59,348,1.77,0,76,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,16.96,82,1020,1020,998,1.54,150,0.0,0,0,2025-06-19 04:12:38,2025-06-19 19:38:37
Lyon,ciel dégagé,17.24,77,1021,1021,990,1.03,0,0.0,0,0,2025-06-19 03:50:30,2025-06-19 19:33:25
Bordeaux,ciel dégagé,18.21,82,1019,1019,1014,2.06,40,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,19.79,77,1019,1019,1009,2.06,10,0.0,0,0,2025-06-19 04:02:49,2025-06-19 19:29:00
Strasbourg,ciel dégagé,17.78,77,1023,1023,1006,2.57,340,0.0,0,0,2025-06-19 03:26:21,2025-06-19 19:34:22
Paris,ciel dégagé,17.81,80,1024,1024,1014,2.57,40,0.0,0,0,2025-06-19 03:46:40,2025-06-19 19:57:23
Rennes,ciel dégagé,14.07,100,1023,1023,1015,1.03,350,0.0,0,5,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,19.79,64,1021,1021,1018,2.06,40,0.0,0,0,2025-06-19 04:09:50,2025-06-19 20:05:19
Marseille,nuageux,20.64,69,1019,1019,1011,1.59,348,1.77,0,76,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,16.95,82,1019,1019,998,1.54,150,0.0,0,0,2025-06-19 04:12:39,2025-06-19 19:38:37
Lyon,ciel dégagé,17.31,77,1021,1021,990,1.03,0,0.0,0,0,2025-06-19 03:50:30,2025-06-19 19:33:25
Bordeaux,ciel dégagé,18.21,82,1019,1019,1014,2.06,40,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,20.96,75,1019,1019,1009,3.6,10,0.0,0,0,2025-06-19 04:02:49,2025-06-19 19:29:00
Strasbourg,ciel dégagé,18.73,72,1023,1023,1006,3.09,360,0.0,0,0,2025-06-19 03:26:21,2025-06-19 19:34:22
Paris,ciel dégagé,19.02,75,1024,1024,1014,3.6,30,0.0,0,0,2025-06-19 03:46:40,2025-06-19 19:57:23
Rennes,ciel dégagé,15.17,100,1022,1022,1015,1.03,350,0.0,0,0,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,19.9,68,1021,1021,1018,2.57,50,0.0,0,0,2025-06-19 04:09:49,2025-06-19 20:05:18
Marseille,nuageux,21.27,52,1019,1019,1011,1.34,144,1.79,0,76,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,17.12,88,1020,1020,998,2.06,190,0.0,0,0,2025-06-19 04:12:38,2025-06-19 19:38:37
Lyon,ciel dégagé,18.94,77,1021,1021,990,1.03,0,0.0,0,0,2025-06-19 03:50:30,2025-06-19 19:33:25
Bordeaux,ciel dégagé,19.18,77,1019,1019,1014,2.06,50,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,27.64,54,1019,1019,1009,3.6,30,0.0,0,0,2025-06-19 04:02:49,2025-06-19 19:29:00
Strasbourg,ciel dégagé,22.78,56,1023,1023,1007,4.12,10,0.0,0,0,2025-06-19 03:26:21,2025-06-19 19:34:22
Paris,ciel dégagé,22.37,63,1024,1024,1014,4.12,50,0.0,0,0,2025-06-19 03:46:40,2025-06-19 19:57:23
Rennes,ciel dégagé,22.03,68,1023,1023,1015,2.57,90,0.0,0,0,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,22.88,56,1022,1022,1018,4.63,70,0.0,0,0,2025-06-19 04:09:49,2025-06-19 20:05:18
Marseille,ciel dégagé,25.83,59,1019,1019,1012,0.27,292,0.59,0,8,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,22.99,60,1020,1020,998,1.03,0,0.0,0,0,2025-06-19 04:12:38,2025-06-19 19:38:37
Lyon,ciel dégagé,23.15,61,1022,1022,990,4.12,320,0.0,0,0,2025-06-19 03:50:30,2025-06-19 19:33:25
Bordeaux,ciel dégagé,24.23,60,1019,1019,1014,2.57,80,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,29.1,49,1019,1019,1009,3.6,70,0.0,0,0,2025-06-19 04:02:49,2025-06-19 19:29:00
Strasbourg,ciel dégagé,24.95,53,1023,1023,1006,4.12,10,0.0,0,0,2025-06-19 03:26:21,2025-06-19 19:34:22
Paris,ciel dégagé,24.17,55,1024,1024,1014,4.12,40,0.0,0,0,2025-06-19 03:46:39,2025-06-19 19:57:26
Rennes,ciel dégagé,25.04,57,1023,1023,1015,4.12,90,0.0,0,0,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,24.93,50,1022,1022,1018,4.12,80,0.0,0,0,2025-06-19 04:09:49,2025-06-19 20:05:18
Marseille,ciel dégagé,31.5,37,1019,1019,1012,1.55,220,1.34,0,0,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,26.06,50,1020,1020,998,2.06,110,0.0,0,0,2025-06-19 04:12:38,2025-06-19 19:38:37
Lyon,ciel dégagé,26.4,80,1021,1021,989,2.57,10,0.0,0,0,2025-06-19 03:50:31,2025-06-19 19:33:26
Bordeaux,ciel dégagé,27.6,50,1019,1019,1014,1.54,130,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,29.69,49,1019,1019,1009,4.12,80,0.0,0,0,2025-06-19 04:02:48,2025-06-19 19:29:02
Strasbourg,ciel dégagé,26.04,50,1023,1023,1006,4.12,20,0.0,0,0,2025-06-19 03:26:21,2025-06-19 19:34:22
Paris,ciel dégagé,25.97,51,1024,1024,1014,3.6,40,0.0,0,0,2025-06-19 03:46:40,2025-06-19 19:57:24
Rennes,ciel dégagé,27.8,42,1022,1022,1015,3.6,100,0.0,0,0,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,27.29,47,1021,1021,1018,4.63,70,0.0,0,0,2025-06-19 04:09:49,2025-06-19 20:05:18
Marseille,ciel dégagé,28.93,32,1019,1019,1012,3.01,211,2.65,0,0,2025-06-19 03:57:53,2025-06-19 19:21:38
Toulouse,ciel dégagé,28.01,44,1019,1019,997,4.12,100,0.0,0,0,2025-06-19 04:12:38,2025-06-19 19:38:37
Lyon,ciel dégagé,26.41,73,1021,1021,989,2.06,350,0.0,0,0,2025-06-19 03:50:30,2025-06-19 19:33:26
Bordeaux,ciel dégagé,30.57,45,1019,1019,1014,1.03,0,0.0,0,0,2025-06-19 04:15:52,2025-06-19 19:51:23
Montpellier,ciel dégagé,32.04,44,1019,1019,1009,2.06,150,0.0,0,0,2025-06-19 04:02:48,2025-06-19 19:29:02
Strasbourg,ciel dégagé,27.99,44,1023,1023,1006,4.63,30,0.0,0,0,2025-06-19 03:26:23,2025-06-19 19:34:22
Paris,ciel dégagé,26.6,47,1024,1024,1014,4.12,70,0.0,0,0,2025-06-19 03:46:41,2025-06-19 19:57:23
Rennes,ciel dégagé,28.35,37,1022,1022,1015,5.14,110,0.0,0,0,2025-06-19 04:06:26,2025-06-19 20:09:45
Nantes,ciel dégagé,28.86,42,1021,1021,1017,4.63,80,0.0,0,0,2025-06-19 04:09:50,2025-06-19 20:05:19
Marseille,ciel dégagé,27.43,39,1019,1019,1012,3.56,216,3.39,0,0,2025-06-19 03:57:53,2025-06-19 19:21:38
